year_month,domain,question_count,coverage_rate
2021-08,Other,54860,0.8066350710900474
2021-09,AI / ML,19045,0.8320294040430559
2021-09,Fast-Moving Web,23749,0.8196976714809044
2021-09,Legacy Stable,23180,0.7899482312338223
2021-09,Other,53829,0.7993460773932267
2021-10,AI / ML,19972,0.8327158021229721
2021-10,Fast-Moving Web,22758,0.819448106160471
2021-10,Legacy Stable,23283,0.7890306232014774
2021-10,Other,52912,0.8043355004535833
2021-11,AI / ML,20145,0.8227848101265823
2021-11,Fast-Moving Web,22140,0.8032520325203252
2021-11,Legacy Stable,24260,0.7772052761747733
2021-11,Other,52625,0.7953634204275535
2021-12,AI / ML,18978,0.8181051744124777
2021-12,Fast-Moving Web,21621,0.8102307941353314
2021-12,Legacy Stable,22288,0.7767408470926059
2021-12,Other,49307,0.7986492790070375
2022-01,AI / ML,19792,0.8247776879547292
2022-01,Fast-Moving Web,23227,0.808627889955655
2022-01,Legacy Stable,22822,0.7787222855139777
2022-01,Other,53513,0.7987778670603405
2022-02,AI / ML,19376,0.816732039636664
2022-02,Fast-Moving Web,21457,0.8056578272824719
2022-02,Legacy Stable,21574,0.7725966441086493
2022-02,Other,51623,0.7970090850977277
2022-03,AI / ML,20936,0.8128104700038211
2022-03,Fast-Moving Web,23012,0.8008864940031288
2022-03,Legacy Stable,23809,0.7649208282582217
2022-03,Other,55738,0.7898022892819979
2022-04,AI / ML,19905,0.8123084652097463
2022-04,Fast-Moving Web,21897,0.8045394346257478
2022-04,Legacy Stable,22312,0.7704822517031193
2022-04,Other,50146,0.7930243688429786
2022-05,AI / ML,19598,0.8089600979691806
2022-05,Fast-Moving Web,22100,0.8035294117647059
2022-05,Legacy Stable,23142,0.7603491487339037
2022-05,Other,51384,0.7904211427681769
2022-06,AI / ML,19000,0.8055789473684211
2022-06,Fast-Moving Web,21167,0.7972787830112912
2022-06,Legacy Stable,21408,0.7604633781763827
2022-06,Other,49959,0.7945715486699093
2022-07,AI / ML,19132,0.8160150533138197
2022-07,Fast-Moving Web,21524,0.798178777178963
2022-07,Legacy Stable,20650,0.7619854721549637
2022-07,Other,49626,0.7994398097771329
2022-08,AI / ML,18876,0.8233735961008688
2022-08,Fast-Moving Web,21794,0.8058181150775443
2022-08,Legacy Stable,21002,0.7614989048662032
2022-08,Other,51279,0.7970709257200803
2022-09,AI / ML,17200,0.8286046511627907
2022-09,Fast-Moving Web,19764,0.8121837684679215
2022-09,Legacy Stable,19599,0.7665697229450482
2022-09,Other,47282,0.8017215853813291
2022-10,AI / ML,18628,0.8287524157182735
2022-10,Fast-Moving Web,19626,0.7974625496789972
2022-10,Legacy Stable,20146,0.7678943710910354
2022-10,Other,47823,0.7880726846914664
2022-11,AI / ML,19064,0.8110050356693244
2022-11,Fast-Moving Web,19995,0.794948737184296
2022-11,Legacy Stable,20828,0.7657960437872096
2022-11,Other,49692,0.7876116879980681
2022-12,AI / ML,16177,0.8142424429745936
2022-12,Fast-Moving Web,18176,0.7913732394366197
2022-12,Legacy Stable,18404,0.7710823733970876
2022-12,Other,43866,0.7868052705968176
2023-01,AI / ML,15274,0.8039151499279822
2023-01,Fast-Moving Web,17894,0.7797585782944003
2023-01,Legacy Stable,18137,0.7674367315432541
2023-01,Other,45715,0.7862845893032921
2023-02,AI / ML,13315,0.8033796470146451
2023-02,Fast-Moving Web,15670,0.7742820676451819
2023-02,Legacy Stable,16001,0.7614524092244235
2023-02,Other,40882,0.7810283254243922
2023-03,AI / ML,13082,0.7952912398715792
2023-03,Fast-Moving Web,15576,0.7761941448382126
2023-03,Legacy Stable,16854,0.7567343063961077
2023-03,Other,41857,0.7722005877153164
2023-04,AI / ML,10325,0.7765617433414044
2023-04,Fast-Moving Web,12269,0.7650175238405738
2023-04,Legacy Stable,13038,0.7503451449608836
2023-04,Other,32999,0.7676899299978788
2023-05,AI / ML,9694,0.7759438828141119
2023-05,Fast-Moving Web,11998,0.7594599099849975
2023-05,Legacy Stable,12480,0.7408653846153846
2023-05,Other,32440,0.758908754623921
2023-06,AI / ML,9200,0.7791304347826087
2023-06,Fast-Moving Web,11233,0.7426333125612036
2023-06,Legacy Stable,12327,0.7321327168005192
2023-06,Other,30973,0.7511380880121397
2023-07,AI / ML,9198,0.7715807784300935
2023-07,Fast-Moving Web,11465,0.7604884430876581
2023-07,Legacy Stable,11851,0.7298118302252975
2023-07,Other,30341,0.7533700273557232
2023-08,AI / ML,8418,0.7704918032786885
2023-08,Fast-Moving Web,10526,0.7513775413262398
2023-08,Legacy Stable,11199,0.7324761139387446
2023-08,Other,30047,0.7539188604519586
2023-09,AI / ML,7060,0.771813031161473
2023-09,Fast-Moving Web,9072,0.7450396825396826
2023-09,Legacy Stable,10147,0.7386419631418153
2023-09,Other,26560,0.7535768072289156
2023-10,AI / ML,7197,0.7719883284701959
2023-10,Fast-Moving Web,8540,0.7703747072599532
2023-10,Legacy Stable,10204,0.7434339474715798
2023-10,Other,26487,0.7655831162457054
2023-11,AI / ML,6848,0.7554030373831776
2023-11,Fast-Moving Web,8153,0.7463510364283086
2023-11,Legacy Stable,9866,0.7408270829110075
2023-11,Other,25500,0.7446666666666667
2023-12,AI / ML,5666,0.7396752559124603
2023-12,Fast-Moving Web,7309,0.7623477903954029
2023-12,Legacy Stable,8337,0.7344368477869737
2023-12,Other,21104,0.7470147839272175
2024-01,AI / ML,6349,0.764687352338951
2024-01,Fast-Moving Web,8137,0.7507680963500062
2024-01,Legacy Stable,8951,0.7250586526645068
2024-01,Other,24264,0.7546571051763931
2024-02,AI / ML,6274,0.7500796939751355
2024-02,Fast-Moving Web,7556,0.7431180518793012
2024-02,Legacy Stable,8887,0.7329807584111624
2024-02,Other,23340,0.7427163667523564
2024-03,AI / ML,6087,0.7548874650895351
2024-03,Fast-Moving Web,7612,0.7530215449290594
2024-03,Legacy Stable,8539,0.736151774212437
2024-03,Other,22565,0.7483270551739419
2024-04,AI / ML,6026,0.7314968469963492
2024-04,Fast-Moving Web,6869,0.7379531227252876
2024-04,Legacy Stable,8268,0.7192791485244315
2024-04,Other,21310,0.7454716095729704
2024-05,AI / ML,5638,0.725789286981199
2024-05,Fast-Moving Web,6514,0.7486951182069389
2024-05,Legacy Stable,7864,0.7170651068158698
2024-05,Other,20142,0.7404428557243571
2024-06,AI / ML,4271,0.71973776633107
2024-06,Fast-Moving Web,5193,0.7487001733102253
2024-06,Legacy Stable,6121,0.7206338833523934
2024-06,Other,16429,0.7327287114249194
2024-07,AI / ML,4216,0.7618595825426945
2024-07,Fast-Moving Web,5015,0.7545363908275174
2024-07,Legacy Stable,6055,0.742691990090834
2024-07,Other,16214,0.7566300727766128
2024-08,AI / ML,3716,0.7801399354144241
2024-08,Fast-Moving Web,4438,0.7573231185218567
2024-08,Legacy Stable,5362,0.7551286833271168
2024-08,Other,14347,0.7626681536209661
2024-09,AI / ML,2979,0.7596508895602552
2024-09,Fast-Moving Web,3814,0.7315154693235448
2024-09,Legacy Stable,5012,0.7450119712689545
2024-09,Other,12988,0.7550816137973514
2024-10,AI / ML,2772,0.7456709956709957
2024-10,Fast-Moving Web,3397,0.7780394465705034
2024-10,Legacy Stable,5021,0.7406891057558256
2024-10,Other,12031,0.7685146704347103
2024-11,AI / ML,2590,0.7629343629343629
2024-11,Fast-Moving Web,3138,0.7527087316762269
2024-11,Legacy Stable,4355,0.7308840413318025
2024-11,Other,10763,0.7518349902443556
2024-12,AI / ML,2226,0.738544474393531
2024-12,Fast-Moving Web,2665,0.7328330206378987
2024-12,Legacy Stable,3638,0.7163276525563497
2024-12,Other,9442,0.7430629104003389
2025-01,AI / ML,2227,0.7682981589582398
2025-01,Fast-Moving Web,2727,0.7308397506417308
2025-01,Legacy Stable,3737,0.7294621354027294
2025-01,Other,9547,0.7597150937467267
2025-02,AI / ML,1835,0.771117166212534
2025-02,Fast-Moving Web,2271,0.7613386173491854
2025-02,Legacy Stable,3177,0.7576329870947435
2025-02,Other,8282,0.7592368992996861
2025-03,AI / ML,1866,0.7711682743837085
2025-03,Fast-Moving Web,2139,0.7821411874707808
2025-03,Legacy Stable,3170,0.7381703470031545
2025-03,Other,7954,0.7699270807141061
2025-04,AI / ML,1565,0.7514376996805112
2025-04,Fast-Moving Web,1663,0.7414311485267588
2025-04,Legacy Stable,2550,0.7019607843137254
2025-04,Other,6571,0.6931973824379851
2025-05,AI / ML,1383,0.6926970354302241
2025-05,Fast-Moving Web,1602,0.66541822721598
2025-05,Legacy Stable,2269,0.6998677831643896
2025-05,Other,6295,0.6142970611596505
2025-06,AI / ML,1035,0.6927536231884058
2025-06,Fast-Moving Web,1208,0.668046357615894
2025-06,Legacy Stable,1864,0.7221030042918455
2025-06,Other,5090,0.6222003929273084
2025-07,AI / ML,935,0.7475935828877005
2025-07,Fast-Moving Web,1052,0.6806083650190115
2025-07,Legacy Stable,1570,0.7312101910828025
2025-07,Other,4194,0.6268478779208393
2025-08,AI / ML,705,0.7290780141843972
2025-08,Fast-Moving Web,770,0.7
2025-08,Legacy Stable,1229,0.724979658258747
2025-08,Other,3133,0.6176188956271944
2025-09,AI / ML,697,0.6814921090387375
2025-09,Fast-Moving Web,765,0.6483660130718955
2025-09,Legacy Stable,1207,0.6702568351284176
2025-09,Other,3393,0.5988800471559093
2025-10,AI / ML,648,0.7299382716049383
2025-10,Fast-Moving Web,663,0.6349924585218703
2025-10,Legacy Stable,1059,0.6893295561850803
2025-10,Other,2950,0.6067796610169491
2025-11,AI / ML,527,0.7514231499051234
2025-11,Fast-Moving Web,549,0.6830601092896175
2025-11,Legacy Stable,944,0.7182203389830508
2025-11,Other,2250,0.6124444444444445
2025-12,AI / ML,411,0.7469586374695864
2025-12,Fast-Moving Web,413,0.6997578692493946
2025-12,Legacy Stable,729,0.7091906721536351
2025-12,Other,1787,0.6390598768886402
2026-01,AI / ML,356,0.7134831460674157
2026-01,Fast-Moving Web,379,0.7387862796833773
2026-01,Legacy Stable,652,0.6978527607361963
2026-01,Other,1580,0.6151898734177215
2026-02,AI / ML,258,0.6976744186046512
2026-02,Fast-Moving Web,285,0.7368421052631579
2026-02,Legacy Stable,553,0.7269439421338155
2026-02,Other,1219,0.6218211648892535
2026-03,AI / ML,239,0.7364016736401674
2026-03,Fast-Moving Web,243,0.6748971193415638
2026-03,Legacy Stable,457,0.6630196936542669
2026-03,Other,1094,0.5804387568555759
