year_month,domain,question_count,accepted_rate
2024-10,Fast-Moving Web,3397,0.36856049455401824
2024-10,Legacy Stable,5021,0.3594901414060944
2024-10,Other,12031,0.3553320588479761
2024-11,AI / ML,2590,0.3579150579150579
2024-11,Fast-Moving Web,3138,0.345761631612492
2024-11,Legacy Stable,4355,0.3611940298507463
2024-11,Other,10763,0.3473009384000743
2024-12,AI / ML,2226,0.3463611859838275
2024-12,Fast-Moving Web,2665,0.3279549718574109
2024-12,Legacy Stable,3638,0.34579439252336447
2024-12,Other,9442,0.34261808938784155
2025-01,AI / ML,2227,0.36147283340817243
2025-01,Fast-Moving Web,2727,0.33663366336633666
2025-01,Legacy Stable,3737,0.3658014450093658
2025-01,Other,9547,0.3455535770399078
2025-02,AI / ML,1835,0.3629427792915531
2025-02,Fast-Moving Web,2271,0.3522677234698371
2025-02,Legacy Stable,3177,0.37677053824362605
2025-02,Other,8282,0.34170490219753685
2025-03,AI / ML,1866,0.3595927116827438
2025-03,Fast-Moving Web,2139,0.3581112669471716
2025-03,Legacy Stable,3170,0.3643533123028391
2025-03,Other,7954,0.3496354035705305
2025-04,AI / ML,1565,0.3597444089456869
2025-04,Fast-Moving Web,1663,0.3457606734816597
2025-04,Legacy Stable,2550,0.35215686274509805
2025-04,Other,6571,0.30847663978085527
2025-05,AI / ML,1383,0.31670281995661603
2025-05,Fast-Moving Web,1602,0.30024968789013734
2025-05,Legacy Stable,2269,0.35874834728955485
2025-05,Other,6295,0.27831612390786337
2025-06,AI / ML,1035,0.3072463768115942
2025-06,Fast-Moving Web,1208,0.2764900662251656
2025-06,Legacy Stable,1864,0.3551502145922747
2025-06,Other,5090,0.2905697445972495
2025-07,AI / ML,935,0.37967914438502676
2025-07,Fast-Moving Web,1052,0.3041825095057034
2025-07,Legacy Stable,1570,0.37579617834394907
2025-07,Other,4194,0.3028135431568908
2025-08,AI / ML,705,0.3829787234042553
2025-08,Fast-Moving Web,770,0.33506493506493507
2025-08,Legacy Stable,1229,0.402766476810415
2025-08,Other,3133,0.2933290775614427
2025-09,AI / ML,697,0.2926829268292683
2025-09,Fast-Moving Web,765,0.3281045751633987
2025-09,Legacy Stable,1207,0.33057166528583265
2025-09,Other,3393,0.269378131447097
2025-10,AI / ML,648,0.3626543209876543
2025-10,Fast-Moving Web,663,0.2790346907993967
2025-10,Legacy Stable,1059,0.3635505193578848
2025-10,Other,2950,0.28338983050847455
2025-11,AI / ML,527,0.3396584440227704
2025-11,Fast-Moving Web,549,0.26958105646630237
2025-11,Legacy Stable,944,0.3559322033898305
2025-11,Other,2250,0.28
2025-12,AI / ML,411,0.31143552311435524
2025-12,Fast-Moving Web,413,0.34624697336561744
2025-12,Legacy Stable,729,0.35253772290809327
2025-12,Other,1787,0.2837157246782317
2026-01,AI / ML,356,0.3146067415730337
2026-01,Fast-Moving Web,379,0.34300791556728233
2026-01,Legacy Stable,652,0.3773006134969325
2026-01,Other,1580,0.29050632911392404
2026-02,AI / ML,258,0.3488372093023256
2026-02,Fast-Moving Web,285,0.3263157894736842
2026-02,Legacy Stable,553,0.3688969258589512
2026-02,Other,1219,0.2895816242821985
2026-03,AI / ML,239,0.35564853556485354
2026-03,Fast-Moving Web,243,0.3168724279835391
2026-03,Legacy Stable,457,0.32603938730853393
2026-03,Other,1094,0.2586837294332724
